Belfast Stockman's Lane,,,,,,,,,,,,,
Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status
49,V µg/m³,39,V µg/m³,114,V µg/m³,25,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
16,V µg/m³,25,V µg/m³,49,V µg/m³,16,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
5,V µg/m³,9,V µg/m³,17,V µg/m³,17,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
15,V µg/m³,19,V µg/m³,42,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
16,V µg/m³,20,V µg/m³,44,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
35,V µg/m³,35,V µg/m³,88,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
29,V µg/m³,33,V µg/m³,77,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
64,V µg/m³,55,V µg/m³,152,V µg/m³,26,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
31,V µg/m³,32,V µg/m³,80,V µg/m³,17,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
29,V µg/m³,27,V µg/m³,72,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
30,V µg/m³,26,V µg/m³,72,V µg/m³,16,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
20,V µg/m³,29,V µg/m³,60,V µg/m³,20,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
15,V µg/m³,24,V µg/m³,47,V µg/m³,23,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
15,V µg/m³,23,V µg/m³,46,V µg/m³,17,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
12,V µg/m³,27,V µg/m³,45,V µg/m³,27,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
16,V µg/m³,36,V µg/m³,61,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
18,V µg/m³,29,V µg/m³,57,V µg/m³,11,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
18,V µg/m³,26,V µg/m³,54,V µg/m³,7,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
39,V µg/m³,37,V µg/m³,96,V µg/m³,18,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
42,V µg/m³,47,V µg/m³,112,V µg/m³,24,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
49,V µg/m³,47,V µg/m³,121,V µg/m³,25,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
57,V µg/m³,54,V µg/m³,142,V µg/m³,32,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
25,V µg/m³,36,V µg/m³,74,V µg/m³,22,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
27,V µg/m³,31,V µg/m³,72,V µg/m³,7,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
20,V µg/m³,26,V µg/m³,57,V µg/m³,8,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
45,V µg/m³,41,V µg/m³,109,V µg/m³,19,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
29,V µg/m³,34,V µg/m³,78,V µg/m³,25,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
15,V µg/m³,21,V µg/m³,44,V µg/m³,24,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
34,V µg/m³,33,V µg/m³,85,V µg/m³,19,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
18,V µg/m³,21,V µg/m³,49,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
16,V µg/m³,18,V µg/m³,43,V µg/m³,18,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
23,V µg/m³,26,V µg/m³,61,V µg/m³,17,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
