,"Belfast Centre",,,,,,,,,,,,,,,,,,,,,,"Belfast Newtownards Road",,,,,,,,,,,,"Belfast Ormeau Road",,,,,,,,,,,,"Belfast Stockman's Lane",,,,,,,,,,,,,,"Belfast Westlink Roden Street",,,,,,,,,,,
Date,Ozone,Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status
26/01/2023,44,"V µg/m³",8,"V µg/m³",28,"V µg/m³",41,"V µg/m³",1,"V µg/m³",0.1,"V mg/m³",16,"V µg/m³ (FIDAS)",7,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",41,"V µg/m³",51,"V µg/m³",114,"V µg/m³","No data","No data","No data","No data","No data","No data",20,"V µg/m³",36,"V µg/m³",67,"V µg/m³","No data","No data","No data","No data","No data","No data",77,"V µg/m³",51,"V µg/m³",170,"V µg/m³",23,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",64,"V µg/m³",54,"V µg/m³",153,"V µg/m³","No data","No data","No data","No data","No data","No data"
27/01/2023,23,"V µg/m³","No data","V µg/m³","No data","V µg/m³","No data","V µg/m³",1,"V µg/m³",0.1,"V mg/m³",18,"V µg/m³ (FIDAS)",10,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",33,"V µg/m³",45,"V µg/m³",95,"V µg/m³","No data","No data","No data","No data","No data","No data",23,"V µg/m³",36,"V µg/m³",71,"V µg/m³","No data","No data","No data","No data","No data","No data",83,"V µg/m³",53,"V µg/m³",180,"V µg/m³",34,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",18,"V µg/m³",38,"V µg/m³",65,"V µg/m³","No data","No data","No data","No data","No data","No data"
28/01/2023,37,"V µg/m³",4,"V µg/m³",24,"V µg/m³",30,"V µg/m³",1,"V µg/m³",0.078,"V mg/m³",12,"V µg/m³ (FIDAS)",8,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",26,"V µg/m³",39,"V µg/m³",79,"V µg/m³","No data","No data","No data","No data","No data","No data",13,"V µg/m³",29,"V µg/m³",50,"V µg/m³","No data","No data","No data","No data","No data","No data",62,"V µg/m³",46,"V µg/m³",142,"V µg/m³",14,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",16,"V µg/m³",30,"V µg/m³",54,"V µg/m³","No data","No data","No data","No data","No data","No data"
29/01/2023,55,"V µg/m³",1,"V µg/m³",11,"V µg/m³",14,"V µg/m³",0,"V µg/m³",0.094,"V mg/m³",9,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",8,"V µg/m³",15,"V µg/m³",28,"V µg/m³","No data","No data","No data","No data","No data","No data",4,"V µg/m³",11,"V µg/m³",18,"V µg/m³","No data","No data","No data","No data","No data","No data",15,"V µg/m³",17,"V µg/m³",41,"V µg/m³",11,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",3,"V µg/m³",9,"V µg/m³",13,"V µg/m³","No data","No data","No data","No data","No data","No data"
30/01/2023,50,"V µg/m³",5,"V µg/m³",21,"V µg/m³",28,"V µg/m³",1,"V µg/m³",0.093,"V mg/m³",16,"V µg/m³ (FIDAS)",8,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",11,"V µg/m³",20,"V µg/m³",38,"V µg/m³","No data","No data","No data","No data","No data","No data",11,"V µg/m³",19,"V µg/m³",36,"V µg/m³","No data","No data","No data","No data","No data","No data",41,"V µg/m³",31,"V µg/m³",93,"V µg/m³",18,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",4,"V µg/m³",16,"V µg/m³",22,"V µg/m³","No data","No data","No data","No data","No data","No data"
31/01/2023,70,"V µg/m³",1,"V µg/m³",8,"V µg/m³",10,"V µg/m³",0,"V µg/m³",0.098,"V mg/m³",15,"V µg/m³ (FIDAS)",8,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",9,"V µg/m³",17,"V µg/m³",30,"V µg/m³","No data","No data","No data","No data","No data","No data",9,"V µg/m³",16,"V µg/m³",30,"V µg/m³","No data","No data","No data","No data","No data","No data",26,"V µg/m³",25,"V µg/m³",65,"V µg/m³",18,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",5,"V µg/m³",16,"V µg/m³",24,"V µg/m³","No data","No data","No data","No data","No data","No data"
01/02/2023,67,"V µg/m³",1,"V µg/m³",12,"V µg/m³",14,"V µg/m³",1,"V µg/m³",0.056,"V mg/m³",12,"V µg/m³ (FIDAS)",7,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",13,"V µg/m³",22,"V µg/m³",43,"V µg/m³","No data","No data","No data","No data","No data","No data",10,"V µg/m³",18,"V µg/m³",33,"V µg/m³","No data","No data","No data","No data","No data","No data",33,"V µg/m³",30,"V µg/m³",81,"V µg/m³",16,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",6,"V µg/m³",17,"V µg/m³",26,"V µg/m³","No data","No data","No data","No data","No data","No data"
02/02/2023,55,"V µg/m³",2,"V µg/m³",18,"V µg/m³",22,"V µg/m³",0,"V µg/m³",0.054,"V mg/m³",6,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",9,"V µg/m³",17,"V µg/m³",31,"V µg/m³","No data","No data","No data","No data","No data","No data",6,"V µg/m³",14,"V µg/m³",24,"V µg/m³","No data","No data","No data","No data","No data","No data",22,"V µg/m³",20,"V µg/m³",54,"V µg/m³",9,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",2,"V µg/m³",14,"V µg/m³",17,"V µg/m³","No data","No data","No data","No data","No data","No data"
03/02/2023,41,"V µg/m³",5,"V µg/m³",30,"V µg/m³",38,"V µg/m³",0,"V µg/m³",0.085,"V mg/m³",8,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",17,"V µg/m³",27,"V µg/m³",53,"V µg/m³","No data","No data","No data","No data","No data","No data",13,"V µg/m³",26,"V µg/m³",46,"V µg/m³","No data","No data","No data","No data","No data","No data",48,"V µg/m³",36,"V µg/m³",110,"V µg/m³",12,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",5,"V µg/m³",25,"V µg/m³",33,"V µg/m³","No data","No data","No data","No data","No data","No data"
04/02/2023,54,"V µg/m³",3,"V µg/m³",19,"V µg/m³",23,"V µg/m³",0,"V µg/m³",0.082,"V mg/m³",10,"V µg/m³ (FIDAS)",6,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",13,"V µg/m³",23,"V µg/m³",42,"V µg/m³","No data","No data","No data","No data","No data","No data",8,"V µg/m³",18,"V µg/m³",30,"V µg/m³","No data","No data","No data","No data","No data","No data",29,"V µg/m³",32,"V µg/m³",76,"V µg/m³",17,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",6,"V µg/m³",19,"V µg/m³",28,"V µg/m³","No data","No data","No data","No data","No data","No data"
